id,name,brand,image_url,annual_fee1,annual_fee2,record,type,,
170,jumjum(점점)카드(할인)(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/170/card_img/23916/170card.png,8000,0,20,VISA,,23000
171,jumjum(점점)카드(적립)(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/171/card_img/23917/171card.png,8000,0,0,VISA,,25000
172,NH올원카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/172/card_img/23918/172card.png,8000,10000,0,Mastercard,,
173,NH올원+(플러스)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/173/card_img/20385/173card.png,23000,25000,0,Mastercard,,
174,국민행복카드(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/174/card_img/20386/174card.png,0,0,30,UnionPay,,
175,NH올원 하나로카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/175/card_img/20387/175card.png,8000,10000,10,Mastercard,,
176,부자되세요 HomeShopping카드(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/176/card_img/20391/176card.png,10000,0,20,VISA,,
177,NH올원 All100(올백)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/177/card_img/20393/177card.png,8000,8000,30,Mastercard,,
178,NH올원 Shopping&11번가카드(R1타입),NH농협카드,https://api.card-gorilla.com:8080/storage/card/178/card_img/20394/178card.png,8000,10000,30,Mastercard,,
179,NH올원 Shopping&11번가카드(R2타입),NH농협카드,https://api.card-gorilla.com:8080/storage/card/179/card_img/20395/179card.png,8000,10000,30,Mastercard,,
180,위카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/180/card_img/20396/180card.png,200000,0,0,VISA,,
181,NH올원 파이카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/181/card_img/20398/181card.png,10000,12000,30,Mastercard,,
182,SolSol++(쏠쏠투플러스)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/182/card_img/20399/182card.png,50000,0,30,Mastercard,,
183,SolSol(쏠쏠)카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/183/card_img/20400/183card.png,10000,0,30,Mastercard,,
184,NH20 해봄카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/184/card_img/20401/184card.png,8000,0,30,Mastercard,,
185,NH농협 부자되세요 아파트카드(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/185/card_img/20402/185card.png,10000,0,40,Mastercard,,
186,NH농협 콕카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/186/card_img/20403/186card.png,10000,0,40,VISA,,
187,올바른POINT카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/187/card_img/20404/187card.png,10000,0,0,VISA,,
188,올바른OIL카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/188/card_img/20406/188card.png,15000,0,30,UnionPay,,
189,올바른TRAVEL카드(일본특화),NH농협카드,https://api.card-gorilla.com:8080/storage/card/189/card_img/20407/189card.png,20000,0,30,JCB,,
190,올바른TRAVEL카드(중국특화),NH농협카드,https://api.card-gorilla.com:8080/storage/card/190/card_img/20410/190card.png,20000,0,30,UnionPay,,
191,T라이트카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/191/card_img/20411/191card.png,10000,0,40,VISA,,
192,KT수퍼할부카드(비씨),NH농협카드,https://api.card-gorilla.com:8080/storage/card/192/card_img/20412/192card.png,15000,0,30,UnionPay,,
193,NH올원 LGU+카드,NH농협카드,https://api.card-gorilla.com:8080/storage/card/193/card_img/20413/193card.png,15000,0,30,Mastercard,,
194,롯데포인트 플러스 카드,롯데카드,https://api.card-gorilla.com:8080/storage/card/194/card_img/20414/194card.png,5000,5000,0,VISA,,
195,VEEX 플래티넘 카드,롯데카드,https://api.card-gorilla.com:8080/storage/card/195/card_img/20415/195card.png,15000,20000,0,Mastercard,,
196,뉴 에듀드림롯데카드,롯데카드,https://api.card-gorilla.com:8080/storage/card/196/card_img/20416/196card.png,5000,10000,30,Mastercard,,
197,올마이쇼핑 카드 (교통),롯데카드,https://api.card-gorilla.com:8080/storage/card/197/card_img/20417/197card.png,15000,15000,50,Mastercard,,
198,올마이쇼핑 카드 (통신),롯데카드,https://api.card-gorilla.com:8080/storage/card/198/card_img/20418/198card.png,15000,15000,50,Mastercard,,
199,올마이쇼핑 카드 (점심),롯데카드,https://api.card-gorilla.com:8080/storage/card/199/card_img/20419/199card.png,15000,15000,50,Mastercard,,
200,올마이쇼핑 카드 (해외),롯데카드,https://api.card-gorilla.com:8080/storage/card/200/card_img/20420/200card.png,15000,0,50,Mastercard,,
201,롯데백화점 롯데카드,롯데카드,https://api.card-gorilla.com:8080/storage/card/201/card_img/20421/201card.png,10000,15000,30,VISA,,
202,SKYPASS THE DREAM 롯데카드,롯데카드,https://api.card-gorilla.com:8080/storage/card/202/card_img/20423/202card.png,25000,30000,0,Mastercard,,
203,ALL MY DC,롯데카드,https://api.card-gorilla.com:8080/storage/card/203/card_img/20424/203card.png,15000,18000,50,VISA,,
